	Position	CompanyName	Skills	Published	MoreInfo
64	Data Analyst	otis elevator pvt ltd	soa, java, xml, oracle, ms access, business objects, data mining, sql, database, sas, information management, esb	Posted 4 days ago	https://www.timesjobs.com/job-detail/data-analyst-otis-elevator-pvt-ltd-mumbai-bengaluru-bangalore-3-to-5-yrs-jobid-4qc9RHqVf7dzpSvf__PLUS__uAgZw==&source=srp
65	Data Analyst	dynamic elements technologies  ( i )  pvt. ltd	data mining, bi, consultant, etl tool, ssis, etl, informatica	Posted 4 days ago	https://www.timesjobs.com/job-detail/data-analyst-dynamic-elements-technologies-i-pvt-ltd-ahmedabad-3-to-6-yrs-jobid-__SLASH__XHlHLB4Zr9zpSvf__PLUS__uAgZw==&source=srp
66	Data Analyst	Cactus Communications Pvt Ltd	algorithms, data mining, sql, apache, xml, hadoop, python, oracle, sas, javascript, business objects	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-cactus-communications-pvt-ltd-mumbai-0-to-3-yrs-jobid-sSh2qVi__SLASH__QoZzpSvf__PLUS__uAgZw==&source=srp
67	Data Analyst	Boehringer Ingelheim India Pvt Ltd	data mining, bi, storage, sql, security, database, python, oracle, c, information management, sas, reporting tools	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-boehringer-ingelheim-india-pvt-ltd-mumbai-0-to-3-yrs-jobid-GSTOmlqBESFzpSvf__PLUS__uAgZw==&source=srp
68	Data Analyst	Paypal India Pvt Ltd	algorithms, data mining, sql, python, problem solving, machine learning, logical thinking	Posted 5 days ago	https://www.timesjobs.com/job-detail/data-analyst-paypal-india-pvt-ltd-chennai-3-to-10-yrs-jobid-2gnNUHILTTBzpSvf__PLUS__uAgZw==&source=srp
69	Data Analyst	Cognizant Technology Solutions	clinical trials, cdm, clinical, pharmacy, data management, life sciences, query management, clinical operations	Posted 6 days ago	https://www.timesjobs.com/job-detail/data-analyst-cognizant-technology-solutions-mumbai-0-to-3-yrs-jobid-1vddQK0__PLUS__rYtzpSvf__PLUS__uAgZw==&source=srp
70	Data Analyst	Cognizant Technology Solutions	clinical trials, clinical data management, cdm, clinical, pharmacy, data management, life sciences, query management, clinical operations	Posted 6 days ago	https://www.timesjobs.com/job-detail/data-analyst-cognizant-technology-solutions-mumbai-0-to-3-yrs-jobid-JTFFasgO__SLASH__BtzpSvf__PLUS__uAgZw==&source=srp
71	Data Analyst	Saama Technologies Pvt Ltd	testing, uat, agile, sql	Posted 6 days ago	https://www.timesjobs.com/job-detail/data-analyst-saama-technologies-pvt-ltd-pune-4-to-8-yrs-jobid-ySWi1gBW0YhzpSvf__PLUS__uAgZw==&source=srp
72	Data Analyst	Cognizant Technology Solutions	reports, mentor, customer interaction, coding, database, security, procedures, c	Posted 6 days ago	https://www.timesjobs.com/job-detail/data-analyst-cognizant-technology-solutions-pune-0-to-3-yrs-jobid-MceFYEgv2__PLUS__hzpSvf__PLUS__uAgZw==&source=srp
73	Data Analyst	Cognizant Technology Solutions	reports, mentor, customer interaction, coding, database, security, procedures, c	Posted 6 days ago	https://www.timesjobs.com/job-detail/data-analyst-cognizant-technology-solutions-mumbai-0-to-3-yrs-jobid-x__SLASH____SLASH__0BAMMJFdzpSvf__PLUS__uAgZw==&source=srp
